,,,,,,bnd,bnd,bnd,bnd,bnd,bnd,bnd,com,com,e em v,e glbl,e int,e int v,e us l,e us s,e us sv,e us v,ls,mf,mf,mf,mf,mf,mf,mf,re,re,re
,Target,RFR,Leverage,Interest,Spread,PFIUX,PTLDX,VFISX,VAIPX,AGG,GOVT,HYLB,COMIX,CCRSX,DFEVX,VT,VTMGX,DFIVX,VFIAX,VSMAX,SFSNX,VRVIX,QMNIX,ABYIX,AHLIX,AQMNX,ASFYX,QMHIX,DBMF,KMLM,CSDIX,DFREX,VGSNX
Abbey Capital Futures Strategy Fund Class I,ABYIX,,1.000,,,,,28.00%,,,,,,,,,,,,,,,,,,,,,36.00%,36.00%,,,
Abbey Capital Multi Asset Fund Class I,MAFIX,,1.600,7.50%,,,,,,,,,,,,,,,33.33%,,,,,66.67%,,,,,,,,,
Abbey Capital Multi Asset Fund Class I,MAFIX,,1.58,10.0%,,,,17.47%,,,,,,,,,,,36.05%,,,,,,,,,,32.19%,14.29%,,,
PIMCO TRENDS Managed Futures Strategy Fund Institutional Class,PQTIX,,1.000,,,,,,,,,,,,,,,,,,,,,,50.00%,,50.00%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standpoint Multi-Asset Fund Institutional Class,BLNDX,2.06%,1.900,2.06%,0.00%,,,21.05%,,,,,,,,26.32%,,,,,,,,,52.63%,,,,,,,,
Catalyst/Millburn Hedge Strategy Fund Class I,MBXIX,1.69%,1.650,1.69%,0.00%,,,,,,,,,,,33.34%,,,,,,,,,66.66%,,,,,,,,
PIMCO RAE PLUS Small Fund Institutional Class,PCFIX,1.15%,2.10,1.15%,0.00%,50.00%,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,,
PIMCO CommoditiesPLUS® Strategy Fund Institutional Class,PCLIX,1.25%,1.800,0.13%,-1.13%,,50.00%,,,,,,50.00%,,,,,,,,,,,,,,,,,,,,
PIMCO CommodityRealReturn Strategy Fund Institutional Class,PCRIX,1.37%,2.000,1.90%,0.53%,,,,50.00%,,,,,50.00%,,,,,,,,,,,,,,,,,,,
PIMCO RAE PLUS EMG Fund Institutional Class,PEFIX,0.95%,1.96,0.95%,0.00%,50.00%,,,,,,,,,50.00%,,,,,,,,,,,,,,,,,,
PIMCO RealEstateRealReturn Strategy Fund Institutional Class,PRRSX,1.38%,1.500,0.25%,-1.13%,,,,25.00%,,,,,,,,,,,,,,,,,,,,,,25.00%,25.00%,25.00%
PIMCO StocksPLUS® Small Fund Institutional Class,PSCSX,2.06%,2,4.00%,1.94%,50.00%,,,,,,,,,,,,,,50.00%,,,,,,,,,,,,,
PIMCO StocksPLUS® International Fund (Unhedged) Institutional Class,PSKIX,2.06%,1.81,3.00%,0.94%,50.00%,,,,,,,,,,,50.00%,,,,,,,,,,,,,,,,
PIMCO StocksPLUS® Absolute Return Fund Institutional Class,PSPTX,2.06%,1.9,2.85%,0.79%,50.00%,,,,,,,,,,,,,50.00%,,,,,,,,,,,,,,
PIMCO StocksPLUS® Fund Institutional Class,PSTKX,2.06%,2,2.25%,0.19%,,50.00%,,,,,,,,,,,,50.00%,,,,,,,,,,,,,,
PIMCO RAE PLUS International Fund Institutional Class,PTSIX,0.91%,1.83,1.25%,0.34%,50.00%,,,,,,,,,,,,50.00%,,,,,,,,,,,,,,,
PIMCO RAE PLUS Fund Institutional Class,PXTIX,1.07%,2.00,0.00%,-1.07%,50.00%,,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,
