,factor_style_equity,dynamic_global_bonds,short_ust,broad_ust,emerging_equity,us_small_equity,real_estate,commodities,factor_style_other,intl_developed_small_equity,intl_developed_large_equity,tips,gold,us_large_equity
factor_style_equity,0.00478206948415462,7.205628006408583e-05,-5.19169457521652e-05,-7.626068683603425e-05,-0.0006116465718399848,-0.0029529048100694743,-0.0011736990999129694,-0.0024474456750180076,0.00330746600496817,0.000698099899777627,0.00025499555735866654,-0.00016413344904442446,-0.0001568288741204994,-0.00047454402818115346
dynamic_global_bonds,7.205628006408583e-05,0.0012511128394995974,0.00029715447202793464,0.0011331599590596523,0.0013715740240674832,0.0011945824312040861,0.001612050202151102,-0.0024114821652465976,-0.0002061848907204465,0.0021481693819844563,0.0015729075420294583,0.0006776799880274015,0.0006213969466957464,0.00125436277791787
short_ust,-5.19169457521652e-05,0.00029715447202793464,0.00019035070186741384,0.0005604414868215809,-2.734290415313773e-06,-0.0005560092487692602,-1.2402038903389127e-05,-0.0008875335277274873,-0.00045936647164066555,0.0003302509778960818,0.0002043081585765769,0.0003356282522018903,0.000490325636131114,-0.0002838949087071779
broad_ust,-7.626068683603425e-05,0.0011331599590596523,0.0005604414868215809,0.0020400306795860254,0.0003781956925373144,-0.0007197568572648384,0.0011399102876357861,-0.0026570248920953954,-0.0009537693864440292,0.001512829327280999,0.0009729961419751896,0.001271496129670199,0.0017607247894797426,-0.00017412185948994602
emerging_equity,-0.0006116465718399848,0.0013715740240674832,-2.734290415313773e-06,0.0003781956925373144,0.020445042316502175,0.015073785651489612,0.0062934141131849065,-0.009910454884155087,-0.0012548303196589837,0.012358806243495868,0.011892111878368175,-0.0005582754533895589,-0.004153736394183442,0.011600499076232373
us_small_equity,-0.0029529048100694743,0.0011945824312040861,-0.0005560092487692602,-0.0007197568572648384,0.015073785651489612,0.03247283124438096,0.016058846409572964,-0.004985984700649668,-0.0006302255659825241,0.0119283512369357,0.013178609102293935,-0.0005586884860029789,-0.011757330874146956,0.01927005527850001
real_estate,-0.0011736990999129694,0.001612050202151102,-1.2402038903389127e-05,0.0011399102876357861,0.0062934141131849065,0.016058846409572964,0.01901538790374128,-0.005840875227982786,-0.0001458048693879435,0.007798016967151197,0.00903101776379088,0.0007176427057666365,-0.001649326111221718,0.009340533642517839
commodities,-0.0024474456750180076,-0.0024114821652465976,-0.0008875335277274873,-0.0026570248920953954,-0.009910454884155087,-0.004985984700649668,-0.005840875227982786,0.034990270996306506,0.003267342845967776,-0.008294513391277503,-0.007359915338937726,-0.0005099229598222303,0.011990785103922175,-0.007317830548892522
factor_style_other,0.00330746600496817,-0.0002061848907204465,-0.00045936647164066555,-0.0009537693864440292,-0.0012548303196589837,-0.0006302255659825241,-0.0001458048693879435,0.003267342845967776,0.006288427115160398,-0.00014723088144356843,-0.0010800338787762015,-0.0004260658049721471,-0.00036696217240446524,0.0001460093531716786
intl_developed_small_equity,0.000698099899777627,0.0021481693819844563,0.0003302509778960818,0.001512829327280999,0.012358806243495868,0.0119283512369357,0.007798016967151197,-0.008294513391277503,-0.00014723088144356843,0.014420086546236067,0.013714458471313714,0.0005916748718329167,-0.0012461342409554542,0.009911347872914743
intl_developed_large_equity,0.00025499555735866654,0.0015729075420294583,0.0002043081585765769,0.0009729961419751896,0.011892111878368175,0.013178609102293935,0.00903101776379088,-0.007359915338937726,-0.0010800338787762015,0.013714458471313714,0.014673342718133048,0.00025484537202233255,-0.002923937267656383,0.010645648534088954
tips,-0.00016413344904442446,0.0006776799880274015,0.0003356282522018903,0.001271496129670199,-0.0005582754533895589,-0.0005586884860029789,0.0007176427057666365,-0.0005099229598222303,-0.0004260658049721471,0.0005916748718329167,0.00025484537202233255,0.0009883790576788462,0.0013013144599285978,-0.0003784472754172369
gold,-0.0001568288741204994,0.0006213969466957464,0.000490325636131114,0.0017607247894797426,-0.004153736394183442,-0.011757330874146956,-0.001649326111221718,0.011990785103922175,-0.00036696217240446524,-0.0012461342409554542,-0.002923937267656383,0.0013013144599285978,0.03229802704165168,-0.010340456808383284
us_large_equity,-0.00047454402818115346,0.00125436277791787,-0.0002838949087071779,-0.00017412185948994602,0.011600499076232373,0.01927005527850001,0.009340533642517839,-0.007317830548892522,0.0001460093531716786,0.009911347872914743,0.010645648534088954,-0.0003784472754172369,-0.010340456808383284,0.016161808094283
